data,commodity,preco,fonte,coletado_em
2025-01-02,dolar,6.2086,NA · Câmbio PTAX · Dólar,2026-07-13T19:51:06
2025-01-02,milho,70.5,NA · Milho CMA · Passo Fundo/RS,2026-07-13T14:41:43
2025-01-02,soja,125.0,NA · Sindicatos e Cooperativas · Não-Me-Toque/RS,2026-07-13T14:41:44
2025-01-02,trigo,65.0,NA · Trigo Mercado Físico · Não-Me-Toque/RS,2026-07-13T14:41:45
2025-01-03,dolar,6.1563,NA · Câmbio PTAX · Dólar,2026-07-13T19:51:08
2025-01-03,milho,70.5,NA · Milho CMA · Passo Fundo/RS,2026-07-13T14:41:46
2025-01-03,soja,125.0,NA · Sindicatos e Cooperativas · Não-Me-Toque/RS,2026-07-13T14:41:47
2025-01-03,trigo,65.0,NA · Trigo Mercado Físico · Não-Me-Toque/RS,2026-07-13T14:41:48
2025-01-06,dolar,6.1119,NA · Câmbio PTAX · Dólar,2026-07-13T19:51:09
2025-01-06,milho,71.0,NA · Milho CMA · Passo Fundo/RS,2026-07-13T14:41:48
2025-01-06,soja,125.0,NA · Sindicatos e Cooperativas · Não-Me-Toque/RS,2026-07-13T14:41:49
2025-01-06,trigo,65.0,NA · Trigo Mercado Físico · Não-Me-Toque/RS,2026-07-13T14:41:50
2025-01-07,dolar,6.0741,NA · Câmbio PTAX · Dólar,2026-07-13T19:51:10
2025-01-07,milho,71.0,NA · Milho CMA · Passo Fundo/RS,2026-07-13T14:41:51
2025-01-07,soja,125.0,NA · Sindicatos e Cooperativas · Não-Me-Toque/RS,2026-07-13T14:41:53
2025-01-07,trigo,65.0,NA · Trigo Mercado Físico · Não-Me-Toque/RS,2026-07-13T14:41:54
2025-01-08,dolar,6.1321,NA · Câmbio PTAX · Dólar,2026-07-13T19:51:12
2025-01-08,milho,71.0,NA · Milho CMA · Passo Fundo/RS,2026-07-13T14:41:54
2025-01-08,soja,125.0,NA · Sindicatos e Cooperativas · Não-Me-Toque/RS,2026-07-13T14:41:55
2025-01-08,trigo,65.0,NA · Trigo Mercado Físico · Não-Me-Toque/RS,2026-07-13T14:41:56
2025-01-09,dolar,6.0896,NA · Câmbio PTAX · Dólar,2026-07-13T19:51:13
2025-01-09,milho,71.0,NA · Milho CMA · Passo Fundo/RS,2026-07-13T14:41:57
2025-01-09,soja,125.0,NA · Sindicatos e Cooperativas · Não-Me-Toque/RS,2026-07-13T14:41:58
2025-01-09,trigo,65.0,NA · Trigo Mercado Físico · Não-Me-Toque/RS,2026-07-13T14:41:59
2025-01-10,dolar,6.0965,NA · Câmbio PTAX · Dólar,2026-07-13T19:51:15
2025-01-10,milho,71.0,NA · Milho CMA · Passo Fundo/RS,2026-07-13T14:42:00
2025-01-10,soja,125.0,NA · Sindicatos e Cooperativas · Não-Me-Toque/RS,2026-07-13T14:42:00
2025-01-10,trigo,65.0,NA · Trigo Mercado Físico · Não-Me-Toque/RS,2026-07-13T14:42:01
2025-01-13,dolar,6.1079,NA · Câmbio PTAX · Dólar,2026-07-13T19:51:16
2025-01-13,milho,72.0,NA · Milho CMA · Passo Fundo/RS,2026-07-13T14:42:02
